UserID,Patta Gobi,Phool Gobi,Bhindi,Aloo Sabzi,Rajma,Paneer,Chole,Baingan,Shimla Mirch,Sev Tamatar,Malai Pyaaz,Mix Veg,Any Dal,Aloo Paratha,Pyaaz Paratha,Paneer Paratha
1,4.00,4.20,5.00,5.00,4.00,4.60,4.60,4.60,5.00,4.60,4.40,4.40,4.60,4.80,4.60,4.40
2,4.00,2.80,3.80,5.00,4.60,4.60,4.80,3.60,3.67,4.80,3.60,4.80,4.70,4.80,4.20,4.80
3,4.20,1.00,4.20,5.00,5.00,4.80,4.60,4.00,4.67,4.80,4.40,4.60,4.60,4.80,4.80,4.60
4,2.00,1.00,2.40,1.60,2.80,3.20,2.80,2.20,2.17,2.60,3.20,1.40,2.90,2.00,2.40,3.67
5,4.40,1.60,5.00,3.00,2.00,3.60,2.00,1.00,1.67,1.00,1.00,1.00,2.00,2.00,1.00,1.00
6,2.60,2.00,3.00,4.00,1.00,2.00,1.00,2.00,2.67,1.00,1.00,3.00,2.50,3.00,3.00,3.00
7,2.60,3.20,2.20,2.60,1.80,5.00,2.00,2.80,4.17,1.00,3.80,3.00,3.00,5.00,3.00,5.00
8,3.60,3.40,4.40,4.80,4.00,4.40,3.80,4.60,3.67,4.20,3.80,2.40,4.30,4.20,4.40,3.60
9,2.75,1.00,4.20,3.20,5.00,5.00,4.00,3.40,2.67,3.40,1.00,1.00,3.20,3.40,1.00,3.00
10,4.20,4.00,4.40,4.40,3.60,4.60,4.60,4.60,4.50,3.60,4.60,4.80,4.30,4.80,4.60,4.40
11,4.80,4.40,4.60,5.00,4.60,4.00,4.20,4.80,3.50,3.40,3.20,3.80,4.40,4.80,4.80,4.60
12,4.20,3.80,4.20,5.00,4.60,4.60,4.60,4.20,4.00,4.60,4.60,4.60,4.50,4.60,4.60,4.20
13,2.40,4.80,4.00,4.60,4.60,4.00,4.60,4.00,4.00,4.40,4.20,4.60,5.00,4.40,4.20,3.40
14,3.80,3.80,4.80,4.40,4.60,5.00,4.80,4.20,2.33,2.60,2.40,3.80,4.40,4.80,3.80,4.20
15,5.00,2.40,5.00,5.00,3.00,2.60,1.00,2.00,3.83,3.40,2.60,3.00,3.90,4.60,4.40,2.80
16,3.40,3.60,4.20,5.00,4.20,4.40,4.00,1.40,3.17,3.80,3.40,3.60,4.10,4.40,3.20,4.00
17,2.20,3.60,3.60,4.40,4.40,4.40,4.80,4.00,3.83,3.20,4.40,4.80,5.00,4.40,4.00,3.80
18,5.00,1.00,1.00,2.00,5.00,5.00,5.00,2.00,1.00,1.00,1.00,4.00,5.00,5.00,5.00,5.00
19,5.00,5.00,5.00,5.00,3.00,3.00,3.00,3.00,4.67,3.00,1.00,2.00,3.00,4.00,4.00,3.00
20,1.00,4.00,3.80,5.00,1.00,3.20,1.00,2.20,3.00,2.80,1.00,1.00,3.70,4.00,1.00,1.00
21,4.00,4.00,4.00,5.00,3.40,2.80,3.00,4.20,3.67,3.00,2.80,2.80,4.60,5.00,5.00,2.00
22,2.40,1.60,2.20,3.00,3.60,3.60,3.60,1.40,1.00,1.00,3.00,2.80,3.90,3.80,3.60,3.40
23,3.40,3.40,4.40,4.40,3.80,3.40,5.00,4.80,4.33,5.00,4.00,2.60,3.50,5.00,3.40,4.20
24,3.80,5.00,4.60,3.80,3.60,4.20,4.40,4.00,2.67,4.40,2.60,4.60,3.70,4.40,3.40,4.20
25,1.60,2.00,3.20,4.20,2.20,3.80,3.40,1.00,2.33,1.00,1.00,1.00,3.90,4.20,2.60,5.00
26,1.00,1.00,3.00,5.00,5.00,5.00,2.40,2.00,2.33,3.60,5.00,2.80,5.00,3.00,2.00,3.00
27,1.00,1.00,2.00,4.00,3.00,4.00,3.00,4.00,1.00,1.00,1.00,4.00,5.00,1.00,3.00,1.00
28,2.80,2.80,1.00,3.00,2.80,4.20,3.60,1.00,1.00,1.00,2.80,2.80,2.80,2.60,1.80,2.60
29,3.20,2.20,2.80,3.40,2.60,4.60,3.20,3.60,2.00,1.00,3.00,3.20,4.80,4.80,3.40,3.80
30,4.00,4.00,1.00,2.00,3.00,1.00,1.00,4.00,4.17,5.00,3.00,2.00,1.00,2.00,2.00,1.00
31,5.00,2.00,3.20,5.00,1.00,1.00,1.00,1.00,1.17,2.00,2.00,2.00,2.00,3.00,2.00,1.00
32,5.00,1.80,1.20,1.00,1.00,1.00,1.00,1.20,3.67,2.00,3.00,3.00,1.00,1.00,1.20,1.00
33,2.00,3.00,3.50,3.20,2.40,3.60,3.20,4.00,3.33,3.00,1.00,3.00,2.80,5.00,1.00,4.60
34,2.20,3.00,4.00,4.00,4.00,3.80,4.00,3.40,3.33,4.00,4.00,2.40,3.70,3.80,3.80,3.80
35,3.00,2.60,4.00,4.00,4.00,4.00,4.00,3.80,3.50,2.00,2.60,2.60,4.00,4.00,4.00,2.60
36,3.40,4.80,4.60,3.00,3.40,4.40,4.00,3.20,3.67,3.20,3.20,3.00,4.20,4.80,2.60,3.00
